Label,Group,Color,Description
wp:00,work-package,5319E7,SIH26168 work-package — wp:00
wp:01,work-package,5319E7,SIH26168 work-package — wp:01
wp:02,work-package,5319E7,SIH26168 work-package — wp:02
wp:03,work-package,5319E7,SIH26168 work-package — wp:03
wp:04,work-package,5319E7,SIH26168 work-package — wp:04
wp:05,work-package,5319E7,SIH26168 work-package — wp:05
wp:06,work-package,5319E7,SIH26168 work-package — wp:06
wp:07,work-package,5319E7,SIH26168 work-package — wp:07
wp:08,work-package,5319E7,SIH26168 work-package — wp:08
wp:09,work-package,5319E7,SIH26168 work-package — wp:09
wp:10,work-package,5319E7,SIH26168 work-package — wp:10
wp:11,work-package,5319E7,SIH26168 work-package — wp:11
wp:12,work-package,5319E7,SIH26168 work-package — wp:12
wp:13,work-package,5319E7,SIH26168 work-package — wp:13
wp:14,work-package,5319E7,SIH26168 work-package — wp:14
wp:15,work-package,5319E7,SIH26168 work-package — wp:15
wp:16,work-package,5319E7,SIH26168 work-package — wp:16
wp:17,work-package,5319E7,SIH26168 work-package — wp:17
area:android,area,1D76DB,SIH26168 area — area:android
area:acquisition,area,1D76DB,SIH26168 area — area:acquisition
area:core,area,1D76DB,SIH26168 area — area:core
area:contracts,area,1D76DB,SIH26168 area — area:contracts
area:map,area,1D76DB,SIH26168 area — area:map
area:ml,area,1D76DB,SIH26168 area — area:ml
area:data,area,1D76DB,SIH26168 area — area:data
area:analyzer,area,1D76DB,SIH26168 area — area:analyzer
area:ci,area,1D76DB,SIH26168 area — area:ci
area:demo,area,1D76DB,SIH26168 area — area:demo
area:docs,area,1D76DB,SIH26168 area — area:docs
area:governance,area,1D76DB,SIH26168 area — area:governance
area:submission,area,1D76DB,SIH26168 area — area:submission
type:feature,type,0E8A16,SIH26168 type — type:feature
type:bug,type,0E8A16,SIH26168 type — type:bug
type:experiment,type,0E8A16,SIH26168 type — type:experiment
type:governance,type,0E8A16,SIH26168 type — type:governance
type:operations,type,0E8A16,SIH26168 type — type:operations
type:documentation,type,0E8A16,SIH26168 type — type:documentation
type:test,type,0E8A16,SIH26168 type — type:test
type:submission,type,0E8A16,SIH26168 type — type:submission
priority:critical,priority,D93F0B,SIH26168 priority — priority:critical
priority:high,priority,D93F0B,SIH26168 priority — priority:high
priority:medium,priority,D93F0B,SIH26168 priority — priority:medium
priority:low,priority,D93F0B,SIH26168 priority — priority:low
status:backlog,status,FBCA04,SIH26168 status — status:backlog
status:ready,status,FBCA04,SIH26168 status — status:ready
status:in-progress,status,FBCA04,SIH26168 status — status:in-progress
status:in-review,status,FBCA04,SIH26168 status — status:in-review
status:blocked,status,FBCA04,SIH26168 status — status:blocked
status:update-required,status,FBCA04,SIH26168 status — status:update-required
status:at-risk,status,FBCA04,SIH26168 status — status:at-risk
status:reassignment-required,status,FBCA04,SIH26168 status — status:reassignment-required
status:closure-approved,status,FBCA04,SIH26168 status — status:closure-approved
status:unauthorized-close,status,FBCA04,SIH26168 status — status:unauthorized-close
status:done,status,FBCA04,SIH26168 status — status:done
status:approved-unavailable,status,FBCA04,SIH26168 status — status:approved-unavailable
evidence-required,governance,B60205,SIH26168 governance — evidence-required
private-data,governance,B60205,SIH26168 governance — private-data
beginner-safe,governance,B60205,SIH26168 governance — beginner-safe
architecture-review,governance,B60205,SIH26168 governance — architecture-review
scientific-review,governance,B60205,SIH26168 governance — scientific-review
security-review,governance,B60205,SIH26168 governance — security-review
field-validation,governance,B60205,SIH26168 governance — field-validation
replay-only,governance,B60205,SIH26168 governance — replay-only
submission-critical,governance,B60205,SIH26168 governance — submission-critical
post-submission,governance,B60205,SIH26168 governance — post-submission
role:operations,governance,B60205,SIH26168 governance — role:operations
